antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence,Deterministic Reranking_support,Deterministic Reranking_confidence,Threshold Optimizer_support,Threshold Optimizer_confidence,support,confidence
"frozenset({'Age (decade)_20.0', 'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.139,0.986,0.137,0.971,0.128,0.905,0.139,0.984,,,,,,
"frozenset({'Age (decade)_20.0', 'n_married', 'white'})",frozenset({'<50K'}),0.152,0.985,0.15,0.972,0.14,0.904,0.152,0.985,,,,,,
"frozenset({'Age (decade)_20.0', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.164,0.985,0.161,0.971,0.151,0.908,0.163,0.983,,,,,,
"frozenset({'Age (decade)_20.0', 'n_married'})",frozenset({'<50K'}),0.185,0.984,0.183,0.972,0.17,0.907,0.185,0.984,,,,,,
"frozenset({'male', 'n_married', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.103,0.979,0.102,0.974,0.102,0.966,0.102,0.972,,,,,,
"frozenset({'n_married', 'education.num_9.0'})",frozenset({'<50K'}),0.164,0.976,0.16,0.953,0.152,0.903,0.165,0.984,,,,,,
"frozenset({'UnitedStates', 'n_married', 'education.num_9.0'})",frozenset({'<50K'}),0.151,0.976,0.148,0.951,0.14,0.902,0.153,0.983,,,,,,
"frozenset({'n_married', 'education.num_9.0', 'white'})",frozenset({'<50K'}),0.129,0.971,0.125,0.943,0.119,0.897,0.13,0.982,,,,,,
"frozenset({'education.num_9.0', 'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.121,0.97,0.118,0.941,0.112,0.897,0.123,0.981,,,,,,
"frozenset({'UnitedStates', 'education.num_10.0', 'n_married'})",frozenset({'<50K'}),0.121,0.965,0.116,0.928,0.109,0.868,0.122,0.973,,,,,,
"frozenset({'education.num_10.0', 'n_married'})",frozenset({'<50K'}),0.132,0.965,0.127,0.929,0.118,0.865,0.133,0.972,,,,,,
"frozenset({'education.num_10.0', 'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.102,0.964,,,,,0.103,0.971,,,,,,
"frozenset({'education.num_10.0', 'n_married', 'white'})",frozenset({'<50K'}),0.108,0.964,0.105,0.933,,,0.109,0.971,,,,,,
"frozenset({'n_married', 'female'})",frozenset({'<50K'}),0.255,0.961,0.237,0.894,,,0.265,1.0,0.255,0.961,,,,
"frozenset({'UnitedStates', 'n_married', 'female'})",frozenset({'<50K'}),0.232,0.961,0.214,0.889,,,0.241,1.0,0.232,0.961,,,,
"frozenset({'n_married', 'white', 'female'})",frozenset({'<50K'}),0.202,0.959,0.186,0.882,,,0.211,1.0,0.202,0.959,,,,
"frozenset({'UnitedStates', 'n_married', 'white', 'female'})",frozenset({'<50K'}),0.187,0.957,0.171,0.878,,,0.195,1.0,0.187,0.957,,,,
"frozenset({'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.441,0.937,0.428,0.908,0.403,0.855,0.452,0.959,0.441,0.937,,,,
frozenset({'n_married'}),frozenset({'<50K'}),0.489,0.937,0.475,0.911,0.445,0.854,0.5,0.959,0.489,0.937,,,,
frozenset({'Age (decade)_20.0'}),frozenset({'<50K'}),0.233,0.935,0.233,0.935,0.214,0.86,0.237,0.953,,,,,,
"frozenset({'Age (decade)_20.0', 'UnitedStates'})",frozenset({'<50K'}),0.205,0.934,0.205,0.933,0.188,0.857,0.208,0.95,,,,,,
"frozenset({'n_married', 'white'})",frozenset({'<50K'}),0.398,0.931,0.386,0.905,0.362,0.847,0.408,0.956,0.398,0.931,,,,
"frozenset({'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.366,0.931,0.354,0.901,0.333,0.847,0.375,0.955,0.366,0.931,,,,
"frozenset({'Age (decade)_20.0', 'white'})",frozenset({'<50K'}),0.193,0.93,0.194,0.934,0.177,0.852,0.197,0.951,,,,,,
"frozenset({'Age (decade)_20.0', 'UnitedStates', 'white'})",frozenset({'<50K'}),0.175,0.929,0.176,0.931,0.16,0.85,0.179,0.947,,,,,,
